Year,Material
1510,Oil on pan
1510,Pen and bl
1510,Engraving
1510,Oil on har
1510,Pen and br
1511,Woodcut
1511,Woodcut
1511,Woodcut
1511,Engraving
1511,Engraving
1511,Woodcut
1511,Woodcut
1511,Chiaroscur
1512,Woodcut
1512,Bronze
1512,Engraving
1512,Engraving
1512,Engraving
1512,Engraving
1512,Engraving
1512,Engraving
1512,Pen and br
1512,Pen and br
1512,Woodcut on
1512,Pen and br
1512,Pen and br
1512,Pen and br
1512,Pen and br
1512,Engraving
1512,Engraving 
1512,Woodcut
1512,Engraving
1512,Engraving
1512,Drypoint
1513,Oil on pan
1513,Oil on woo
1513,Woodcut
1513,Woodcut
1513,Woodcut
1513,Woodcut
1513,Woodcut
1513,Engraving
1513,Woodcut
1513,Woodcut
1513,Woodcut
1513,Woodcut
1513,Woodcut
1513,Woodcut
1513,Woodcut
1513,Woodcut
1513,Woodcut
1513,Woodcut
1513,Oil on pan
1513,Woodcut
1513,Woodcut
1513,Engraving
1513,Red chalk 
1513,Woodcut
1513,Woodcut
1513,Woodcut
1513,Oil on pan
1513,Woodcut
1514,Oil on can
1514,Engraving
1514,Woodcut
1514,Engraving
1514,Woodcut
1514,Woodcut
1514,Woodcut
1514,Woodcut
1514,Woodcut
1514,Engraving
1514,Engraving 
1514,Engraving
1514,Engraving
1514,Woodcut
1514,Woodcut
1514,Engraving
1514,Engraving
1514,Woodcut
1514,Engraving
1514,Engraving
1514,Engraving 
1515,Woodcut
1515,Engraving
1515,Pen and br
1515,Pen and br
1515,Bronze//bl
1515,Woodcut
1515,Engraving
1515,Engraving
1515,Engraving
1515,Engraving
1515,Linden woo
1515,Etching (i
1515,Woodcut
1515,Engraving
1515,Woodcut
1515,Pen and br
1515,Pen and br
1515,Woodcut
1515,Engraving
1515,Pen and br
1515,Engraving
1515,Woodcut
1515,Black chal
1515,Pen and br
1515,Pen and br
1515,Oil on pan
1515,Oil on pan
1515,Pen and br
1515,42 woodcut
1515,Engraving
